timestamp,rank,division,population_count
2025-02-09T06:15:12.924014,celestial,2,1591
2025-02-09T06:15:12.924014,celestial,3,4169
2025-02-09T06:15:12.924014,eternity,total,246
2025-02-09T06:15:12.924014,one_above_all,total,498
2025-02-09T12:19:47.462345,bronze,1,236977
2025-02-09T12:19:47.462345,bronze,2,276688
2025-02-09T12:19:47.462345,bronze,3,1043216
2025-02-09T12:19:47.462345,silver,1,195728
2025-02-09T12:19:47.462345,silver,2,222907
2025-02-09T12:19:47.462345,silver,3,258296
2025-02-09T12:19:47.462345,gold,1,142687
2025-02-09T12:19:47.462345,gold,2,170748
2025-02-09T12:19:47.462345,gold,3,241885
2025-02-09T12:19:47.462345,platinum,1,60149
2025-02-09T12:19:47.462345,platinum,2,95789
2025-02-09T12:19:47.462345,platinum,3,162527
2025-02-09T12:19:47.462345,diamond,1,16274
2025-02-09T12:19:47.462345,diamond,2,27632
2025-02-09T12:19:47.462345,diamond,3,55875
2025-02-09T12:19:47.462345,grandmaster,1,4528
2025-02-09T12:19:47.462345,grandmaster,2,7813
2025-02-09T12:19:47.462345,grandmaster,3,18955
2025-02-09T12:19:47.462345,celestial,1,798
2025-02-09T12:19:47.462345,celestial,2,1628
2025-02-09T12:19:47.462345,celestial,3,4321
2025-02-09T12:19:47.462345,eternity,total,282
2025-02-09T12:19:47.462345,one_above_all,total,506
2025-02-09T18:14:12.307642,bronze,1,237693
2025-02-09T18:14:12.307642,bronze,2,277617
2025-02-09T18:14:12.307642,bronze,3,1047069
2025-02-09T18:14:12.307642,silver,1,196195
2025-02-09T18:14:12.307642,silver,2,223513
2025-02-09T18:14:12.307642,silver,3,259011
2025-02-09T18:14:12.307642,gold,1,143075
2025-02-09T18:14:12.307642,gold,2,171216
2025-02-09T18:14:12.307642,gold,3,242572
2025-02-09T18:14:12.307642,platinum,1,60478
2025-02-09T18:14:12.307642,platinum,2,96192
2025-02-09T18:14:12.307642,platinum,3,163130
2025-02-09T18:14:12.307642,diamond,1,16470
2025-02-09T18:14:12.307642,diamond,2,27937
2025-02-09T18:14:12.307642,diamond,3,56252
2025-02-09T18:14:12.307642,grandmaster,1,4616
2025-02-09T18:14:12.307642,grandmaster,2,7947
2025-02-09T18:14:12.307642,grandmaster,3,19262
2025-02-09T18:14:12.307642,celestial,1,813
2025-02-09T18:14:12.307642,celestial,2,1652
2025-02-09T18:14:12.307642,celestial,3,4411
2025-02-09T18:14:12.307642,eternity,total,310
2025-02-09T18:14:12.307642,one_above_all,total,498
2025-02-10T00:57:20.332925,bronze,1,238743
2025-02-10T00:57:20.332925,bronze,2,279063
2025-02-10T00:57:20.332925,bronze,3,1052928
2025-02-10T00:57:20.332925,silver,1,196970
2025-02-10T00:57:20.332925,silver,2,224410
2025-02-10T00:57:20.332925,silver,3,260156
