player_uid,player_name,highest_score,latest_score,matches,wins
90876300,Unknown,NaN,NaN,0,0
207004676,Unknown,NaN,NaN,0,0
1212193990,Unknown,NaN,NaN,0,0
1029631092,Eighty.,4545,4545,135,81
3807631,SungJinwoo2007,5056,5056,187,129
765536514,SME_Eiko,4950,4950,95,65
2009854287,Eiikoo,4664,4664,151,86
322054266,localReaper,4850,4850,314,165
1713014406,Jitward,4944,4944,437,230
1178847914,Unknown,NaN,NaN,0,0
1105395791,ThatDevinDude,4805,4805,613,318
1173043622,DevHigh,4982,4982,409,219
313566444,ج التصميم,4652,4652,172,95
6913355,debooba,4232,4232,113,63
1590146592,serenis,4208,4208,152,81
773269716,Fengxiqn,,,215,108
1843638392,Unknown,NaN,NaN,0,0
1197161300,rosywosy,4731,4731,270,141
1880610665,Unknown,NaN,NaN,0,0
1886321003,Kotaren,4735,4735,309,170
5242994,Unknown,NaN,NaN,0,0
386918659,Lunium,4784,4784,271,137
602598738,полиция,4926,4926,90,61
1041012532,Cwack,4214,4214,275,145
1685248464,dm4feet,4688,4688,643,315
898415968,Unknown,NaN,NaN,0,0
1498573163,PMAJellies,4803,4803,401,214
799616621,Unknown,NaN,NaN,0,0
1077885061,hhxd,4949,4949,485,261
1314001123,LoubillionsTTV,4818,4818,915,459
736741335,Orexg,4908,4908,391,226
1646176478,King  Bob,4964,4964,491,281
777071397,IchHabHunger,5026,5026,374,211
573532488,Tero_TTV,4921,4921,615,319
549347451,Unknown,NaN,NaN,0,0
1689441794,我想跳楼,4921,4921,173,107
428892608,Pewl117,4816,4816,317,176
380102045,4KT Youngboy,4595,4595,378,187
247844181,Unknown,NaN,NaN,0,0
271952670,Unknown,NaN,NaN,0,0
1711474335,Unknown,NaN,NaN,0,0
849976466,Unknown,NaN,NaN,0,0
1816494488,TweakTk,5047,5047,490,261
364362681,InfinityJest,3092,3092,62,46
1901286368,Lilithiaris,3000,3000,30,14
973931757,Unknown,NaN,NaN,0,0
1669465178,kal1xm,4863,4863,534,278
775327142,Unknown,NaN,NaN,0,0
318170788,Unknown,NaN,NaN,0,0
1028411787,Myrena,4712,4712,91,63
1495003716,pellegrinos,4515,4515,293,162
682326662,Unknown,NaN,NaN,0,0
401675431,Unknown,NaN,NaN,0,0
930214766,xCiphxr,4967,4967,170,112
8727075,WillThrow,5034,5034,417,217
213052056,Unknown,NaN,NaN,0,0
853491480,jaza,4843,4843,127,78
958515183,Lorpq8,4923,4923,241,133
884367699,xorbq8,4975,4975,193,109
884640834,LiquidVi,4924,4924,253,137
1819121358,BananaMontana,4686,4686,360,182
471298213,Unknown,NaN,NaN,0,0
2005484913,Unknown,NaN,NaN,0,0
1100892181,Unknown,NaN,NaN,0,0
81731849,Unknown,NaN,NaN,0,0
1339185534,Unknown,NaN,NaN,0,0
478992209,Kobekopter,3394,3394,47,25
189331422,neb73,4860,4860,71,53
1978552150,Bigpuffer,4814,4814,348,183
1816874854,cate dunlap,4667,4667,235,123
1073847931,Unknown,NaN,NaN,0,0
420054021,¹PoundFish,4818,4818,177,102
